,Anon Student Id,Answer,Axes,Choose-Principle,Choose-Sought,Equation,Explain-Further,NextStepHelp,Variable,Whats-Wrong
0,Stu_eeabcc9935c63ebb8a908d88d1fff156,71.0,18.0,4.0,2.0,115.0,66.0,23.0,2.0,18.0
0,Stu_efcec15bd351c6d31e2cf97b50b1a18b,83.0,64.0,31.0,32.0,693.0,458.0,177.0,160.0,40.0
0,Stu_f32b2da886108b9bf4ee23a6cba7574a,89.0,38.0,30.0,39.0,209.0,696.0,296.0,85.0,23.0
0,Stu_f4971d47388ee31786cea50fdabf936b,98.0,63.0,67.0,87.0,876.0,800.0,418.0,246.0,83.0
0,Stu_f52020854292bbfbb3a94e3f6775c686,108.0,76.0,77.0,80.0,447.0,1294.0,511.0,240.0,80.0
0,Stu_f61eb11c8871517645f7b90e36a1a907,67.0,46.0,59.0,85.0,435.0,720.0,344.0,217.0,71.0
0,Stu_f8258e6b33109ea4808c004915145dd2,82.0,58.0,63.0,79.0,1016.0,696.0,359.0,227.0,62.0
0,Stu_fa1d7f2f99f036137482fbc04bab625b,208.0,39.0,51.0,45.0,287.0,1299.0,455.0,102.0,50.0
0,Stu_fb6121b7f70cc8dc2dca6a97e2c7cdc5,101.0,56.0,75.0,77.0,1009.0,1158.0,552.0,238.0,59.0
0,Stu_fd75420a601b7a43d13ea33ce657a2e1,109.0,4.0,0.0,0.0,5.0,19.0,3.0,6.0,22.0
0,Stu_ff13c22bdf5c4eb4fa87e03fe5d782ad,155.0,80.0,98.0,108.0,793.0,1667.0,601.0,244.0,134.0
