,Anon Student Id,Answer,Axes,Vector,Choose-Principle,Choose-Sought,Equation,Explain-Further,NextStepHelp,Variable,Whats-Wrong,Solve,labels
43,Stu_ccb2c386771911bdad9ac51651ec918e,0.17721519,0.056818182,0.029498525,0,0.10483871,0.031098825,0.031805426,0.0433213,0.010840108,0.042635659,0.113970588,1
44,Stu_cdc428c9b50b63477fb093c8502a6464,0.459915612,0.727272727,0.475909538,0.407079646,0.443548387,0.650310988,0.212347989,0.271961492,0.56097561,0.139534884,0.621323529,0
45,Stu_ce79177213b7f4cd9ad3c339a86dc60a,0.561181435,0.693181818,0.33726647,0.805309735,0.782258065,0.345542502,0.684752105,0.709987966,0.639566396,0.186046512,0.389705882,2
46,Stu_cfd91da0a898aec57c207cb715bdd8b5,0.599156118,0.284090909,0.201573255,0.017699115,0.024193548,0.096060815,0.016838167,0.027677497,0.127371274,0.089147287,0.091911765,1
47,Stu_d00921af572b9a8bf0a1054902fd90fd,0.261603376,0.465909091,0.265486726,0.433628319,0.427419355,0.384934347,0.482694107,0.527075812,0.39295393,0.112403101,0.400735294,0
48,Stu_d1a0e56259ba39c4385797627bb1a725,0.654008439,0.715909091,0.397246804,0.398230088,0.451612903,0.450587422,0.31898971,0.377858002,0.609756098,0.395348837,0.536764706,0
49,Stu_d4e722d87bd97792f19ec2ef82bace2d,0.46835443,0.068181818,0.008849558,0,0,0.00276434,0.003741815,0.001203369,0.002710027,0.007751938,0.022058824,1
50,Stu_d6abf8c165c5cbbeec72fcdb136010dc,0.113924051,0.363636364,0.317600787,0.522123894,0.475806452,0.244644091,0.552853134,0.513838748,0.379403794,0.352713178,0.261029412,0
51,Stu_dbcba45622e36075ce3e9aa68f58885d,0.510548523,0.795454545,0.427728614,0.557522124,0.532258065,0.720110574,0.219831618,0.348977136,0.718157182,0.375968992,0.886029412,0
52,Stu_ddba755726b42da298e07667441f6446,0.481012658,0.545454545,0.279252704,0.522123894,0.475806452,0.254319281,0.361552853,0.398315283,0.430894309,0.275193798,0.341911765,0
53,Stu_ddf2fad5b1e0d5a330d956743e591cec,0.270042194,0.534090909,0.243854474,0.309734513,0.290322581,0.258465791,0.195977549,0.281588448,0.265582656,0.259689922,0.363970588,0
54,Stu_e1a82006c70a48a29c79d5e42bc799db,0.502109705,0.590909091,0.581120944,0.628318584,0.758064516,0.615756738,0.350327409,0.523465704,0.845528455,0.279069767,0.577205882,0
55,Stu_e485b3774f50258091e3a830b5f59ed0,0.497890295,0.715909091,0.488692232,0.539823009,0.741935484,0.441603317,0.368568756,0.470517449,0.54200542,0.313953488,0.540441176,0
56,Stu_e78647f6261dd28d422cdb258cfb02ea,0.789029536,0.306818182,0.093411996,0,0,0.01520387,0.003274088,0.002406739,0,0.027131783,0.014705882,1
57,Stu_ec98f93e6b1670381948d0be75bbcad3,0.35021097,0.738636364,0.351032448,0.654867257,0.64516129,0.404284727,0.280636109,0.369434416,0.680216802,0.081395349,0.536764706,0
58,Stu_eeabcc9935c63ebb8a908d88d1fff156,0.299578059,0.204545455,0.072763029,0.03539823,0.016129032,0.079474775,0.030869972,0.027677497,0.005420054,0.069767442,0.066176471,1
59,Stu_efcec15bd351c6d31e2cf97b50b1a18b,0.35021097,0.727272727,0.320550639,0.274336283,0.258064516,0.478921907,0.214218896,0.21299639,0.433604336,0.15503876,0.485294118,0
60,Stu_f32b2da886108b9bf4ee23a6cba7574a,0.375527426,0.431818182,0.202556539,0.265486726,0.314516129,0.144436766,0.325537886,0.356197353,0.230352304,0.089147287,0.161764706,0
61,Stu_f4971d47388ee31786cea50fdabf936b,0.41350211,0.715909091,0.547689282,0.592920354,0.701612903,0.605390463,0.374181478,0.503008424,0.666666667,0.321705426,0.6875,0
62,Stu_f52020854292bbfbb3a94e3f6775c686,0.455696203,0.863636364,0.363815143,0.681415929,0.64516129,0.308914997,0.605238541,0.614921781,0.650406504,0.310077519,0.455882353,2
63,Stu_f61eb11c8871517645f7b90e36a1a907,0.282700422,0.522727273,0.318584071,0.522123894,0.685483871,0.300621977,0.33676333,0.413959085,0.588075881,0.275193798,0.511029412,0
64,Stu_f8258e6b33109ea4808c004915145dd2,0.345991561,0.659090909,0.434611603,0.557522124,0.637096774,0.702142364,0.325537886,0.432009627,0.615176152,0.240310078,0.830882353,0
65,Stu_fa1d7f2f99f036137482fbc04bab625b,0.877637131,0.443181818,0.262536873,0.451327434,0.362903226,0.198341396,0.607577175,0.547533093,0.276422764,0.19379845,0.466911765,0
66,Stu_fb6121b7f70cc8dc2dca6a97e2c7cdc5,0.426160338,0.636363636,0.345132743,0.663716814,0.620967742,0.697304768,0.541627689,0.664259928,0.64498645,0.228682171,0.761029412,0
67,Stu_fd75420a601b7a43d13ea33ce657a2e1,0.459915612,0.045454545,0.032448378,0,0,0.003455425,0.00888681,0.003610108,0.016260163,0.085271318,0,1
68,Stu_ff13c22bdf5c4eb4fa87e03fe5d782ad,0.654008439,0.909090909,0.517207473,0.867256637,0.870967742,0.548030408,0.779700655,0.72322503,0.661246612,0.519379845,0.669117647,2
